ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global"
5370,simple,,,"Eachine TX06 700TVL FOV 130 Degree 5.8Ghz 40CH Smart Audio Mini FPV Camera+vtx",1,0,visible,"&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;","<strong>Eachine TX06 700TVL FOV 130 Degree 5.8Ghz 40CH Smart Audio Mini FPV Camera + Vtx</strong>
\n
\n<strong>Feature</strong>
\nOSD configuration using FC Uart
\nSuper small and lightweight
\n700TVL high picture quality,Low Power Consumption.
\n48CH channel with race band
\nPower by 1S lipo battery
\nPlug and play,designed for DIY
\nSuper Mini 5.8GHz 48CH FPV Transmitter +700TVL FPV Camera+Brass dipole Antenna+OSD
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,taxable,,backorder,0,,notify,0,0.1,,,,1,,,3206.5,"FPV, FPV/Action Camera","Eachine, Eachine TX06 700TVL, Eachine TX06 700TVL FOV",,"https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-1-e1619110498726.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-1-1-e1619110522378.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-2.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-3.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-4.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-5.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-6.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-7.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-8.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-9.png, https://www.robotonbd.com/wp-content/uploads/2021/03/Capture-10.png",,,,,,,,,0,,,,,
5390,variable,,,"T-Motor Velox V2207 V2 2550KV 4S Brushless Motor",1,0,visible,"<h2 class=""text-gray-900 text-2xl title-font font-base w-full pb-3"">About this product</h2>
\n<div class=""w-full"">
\n<div class=""prose max-w-none"">
\n
\nIntroducing the new VELOX V2 motors by T-Motor. The V2207 V2 motors come in a new and sleek design and are made with premium components to give your multirotor visibility and speed in the game! Great for freestyle and racing!
\n
\n</div>
\n</div>","<h2>Specifications</h2>
\n<strong>KV:</strong> 2550 (<strong>Ice Blue</strong>)
\n<ul>
